year,Zip,City,State,orders,revenue
2020,171002,Shimla,Himachal Pradesh,1,1900.0
2020,171003,Shimla,Himachal Pradesh,2,3000.0
2020,171005,Shimla,Himachal Pradesh,1,1800.0
2020,171006,Shimla,Himachal Pradesh,5,7399.0
2020,171008,Shimla,Himachal Pradesh,1,1200.0
2020,171009,Shimla,Himachal Pradesh,13,18800.0
2020,171011,Shimla,Himachal Pradesh,3,4700.0
2020,171012,Shimla,Himachal Pradesh,3,5000.0
2020,171201,Shimla,Himachal Pradesh,3,5000.0
2020,171202,Shimla,Himachal Pradesh,3,4200.0
2020,171205,Shimla,Himachal Pradesh,3,4360.0
2020,171206,Shimla,Himachal Pradesh,1,1200.0
2020,171207,Shimla,Himachal Pradesh,6,8000.0
2020,171208,Shimla,Himachal Pradesh,1,1800.0
2020,171211,Shimla,Himachal Pradesh,1,1200.0
2020,171212,Shimla,Himachal Pradesh,1,1800.0
2020,171213,Shimla,Himachal Pradesh,1,1800.0
2020,171217,Shimla,Himachal Pradesh,1,1400.0
2020,171219,Shimla,Himachal Pradesh,1,1800.0
2020,171225,Shimla,Himachal Pradesh,1,1400.0
2020,171301,Shimla,Himachal Pradesh,1,1800.0
2020,171302,Shimla,Himachal Pradesh,1,1800.0
2020,172001,Kullu,Himachal Pradesh,4,5100.0
2020,172024,Shimla,Himachal Pradesh,1,1200.0
2020,172026,Kullu,Himachal Pradesh,2,3700.0
2020,172029,Shimla,Himachal Pradesh,1,1400.0
2020,172101,Shimla,Himachal Pradesh,2,2600.0
2020,172107,Kinnaur,Himachal Pradesh,4,4800.0
2020,172108,Kinnaur,Himachal Pradesh,1,1800.0
2020,172114,Lahul & Spiti,Himachal Pradesh,1,1200.0
2020,173001,Sirmaur,Himachal Pradesh,4,6200.0
2020,173022,Sirmaur,Himachal Pradesh,1,1990.0
2020,173025,Sirmaur,Himachal Pradesh,3,4000.0
2020,173027,Sirmaur,Himachal Pradesh,1,1200.0
2020,173101,Sirmaur,Himachal Pradesh,2,2700.0
2020,173204,Solan,Himachal Pradesh,2,2600.0
2020,173205,Solan,Himachal Pradesh,2,4100.0
2020,173207,Solan,Himachal Pradesh,1,1800.0
2020,173208,Solan,Himachal Pradesh,2,3000.0
2020,173209,Solan,Himachal Pradesh,3,4200.0
2020,173211,Solan,Himachal Pradesh,5,8900.0
2020,173212,Solan,Himachal Pradesh,10,14700.0
2020,173213,Solan,Himachal Pradesh,2,3200.0
2020,173229,Solan,Himachal Pradesh,1,1200.0
2020,173295,Shimla,Himachal Pradesh,1,1200.0
2020,174001,Bilaspur (HP),Himachal Pradesh,5,7000.0
2020,174011,Bilaspur (HP),Himachal Pradesh,1,1400.0
2020,174021,Bilaspur (HP),Himachal Pradesh,2,3200.0
2020,174029,Bilaspur (HP),Himachal Pradesh,1,1800.0
2020,174033,Bilaspur (HP),Himachal Pradesh,1,1200.0
2020,174101,Solan,Himachal Pradesh,7,12490.0
2020,174303,Una,Himachal Pradesh,5,8890.0
2020,174305,Hamirpur(HP),Himachal Pradesh,1,1800.0
2020,174306,Una,Himachal Pradesh,1,1800.0
2020,174312,Hamirpur(HP),Himachal Pradesh,1,1200.0
2020,175001,Mandi,Himachal Pradesh,9,16100.0
2020,175005,Mandi,Himachal Pradesh,2,3600.0
2020,175007,Mandi,Himachal Pradesh,1,1200.0
2020,175009,Mandi,Himachal Pradesh,1,1800.0
2020,175016,Mandi,Himachal Pradesh,1,1800.0
2020,175018,Mandi,Himachal Pradesh,3,6890.0
2020,175019,Mandi,Himachal Pradesh,2,2400.0
2020,175021,Mandi,Himachal Pradesh,1,1800.0
2020,175024,Mandi,Himachal Pradesh,4,6800.0
2020,175026,Mandi,Himachal Pradesh,1,1600.0
2020,175027,Mandi,Himachal Pradesh,2,2600.0
2020,175032,Mandi,Himachal Pradesh,1,1800.0
2020,175036,Mandi,Himachal Pradesh,1,1400.0
2020,175101,Kullu,Himachal Pradesh,4,5000.0
2020,175105,Kullu,Himachal Pradesh,2,2400.0
2020,175121,Mandi,Himachal Pradesh,2,3200.0
2020,175123,Kullu,Himachal Pradesh,1,1200.0
2020,175125,Kullu,Himachal Pradesh,4,6200.0
2020,175126,Kullu,Himachal Pradesh,2,3000.0
2020,175128,Kullu,Himachal Pradesh,1,1990.0
2020,175131,Kullu,Himachal Pradesh,2,2400.0
2020,176001,Kangra,Himachal Pradesh,2,2600.0
2020,176021,Kangra,Himachal Pradesh,1,1800.0
2020,176022,Kangra,Himachal Pradesh,2,2600.0
2020,176023,Kangra,Himachal Pradesh,1,1800.0
2020,176031,Kangra,Himachal Pradesh,2,2600.0
2020,176041,Hamirpur(HP),Himachal Pradesh,1,1800.0
2020,176045,Hamirpur(HP),Himachal Pradesh,2,4100.0
2020,176047,Kangra,Himachal Pradesh,1,1400.0
2020,176050,Shimla,Himachal Pradesh,1,1200.0
2020,176051,Kangra,Himachal Pradesh,1,1800.0
2020,176052,Kangra,Himachal Pradesh,1,1800.0
2020,176054,Kangra,Himachal Pradesh,1,1800.0
2020,176057,Kangra,Himachal Pradesh,4,6500.0
2020,176058,Kangra,Himachal Pradesh,1,1800.0
2020,176061,Kangra,Himachal Pradesh,5,8760.0
2020,176063,Kangra,Himachal Pradesh,1,1200.0
2020,176064,Kangra,Himachal Pradesh,1,1800.0
2020,176083,Kangra,Himachal Pradesh,1,1800.0
2020,176090,Mandi,Himachal Pradesh,1,1200.0
2020,176092,Kangra,Himachal Pradesh,1,1990.0
2020,176102,Kangra,Himachal Pradesh,2,2600.0
2020,176107,Kangra,Himachal Pradesh,1,1400.0
2020,176110,Hamirpur(HP),Himachal Pradesh,1,1800.0
2020,176125,Kangra,Himachal Pradesh,2,3600.0
2020,176202,Kangra,Himachal Pradesh,1,1800.0
2020,176204,Kangra,Himachal Pradesh,1,1200.0
2020,176206,Kangra,Himachal Pradesh,1,1800.0
2020,176209,Kangra,Himachal Pradesh,3,4900.0
2020,176211,Kangra,Himachal Pradesh,1,1400.0
2020,176213,Kangra,Himachal Pradesh,1,1800.0
2020,176215,Kangra,Himachal Pradesh,10,15130.0
2020,176218,Kangra,Himachal Pradesh,1,1200.0
