pin_int,unique_1cx,total_orders,total_revenue
133091,1,1,0.0
133101,3,3,7615.0
133102,1,1,3575.0
133103,15,15,27647.0
133104,14,17,32153.15
133107,1,1,1099.0
133201,26,26,46037.4
133202,2,2,3675.0
133203,13,14,25079.15
133204,7,7,7823.0
133205,3,3,4209.0
133207,21,23,36699.0
133208,1,1,0.0
133301,9,9,20802.0
133302,43,45,92248.0
134001,3,3,6809.0
134002,3,3,3925.0
134003,189,208,373949.9
134004,1,1,900.0
134005,3,3,4856.0
134007,27,33,49815.1
134009,2,2,2229.0
134011,2,2,1875.0
134019,1,1,1228.5
134100,1,1,2900.0
134101,8,8,14371.0
134102,83,90,176806.1
134103,1,1,1575.0
134104,14,14,20553.0
134105,2,4,1997.0
134107,61,70,134781.5
134108,12,13,21407.0
134109,194,209,341000.5
134110,1,1,900.0
134112,108,120,207830.25
134113,88,119,168373.35
134114,33,36,60395.4
134115,5,6,10235.0
134116,86,95,170982.15
134117,34,36,60930.2
134118,17,18,33233.0
134119,1,2,1800.0
134201,3,3,2740.0
134202,13,13,21452.0
134203,51,55,119503.1
134204,12,12,24639.0
135001,231,253,425323.1
135002,28,32,45938.0
135003,103,108,188300.15
135004,4,4,8170.0
135021,6,7,15124.0
135101,7,8,12246.0
135102,20,21,45203.99
135103,16,19,24523.1
135106,4,5,6883.0
135133,23,24,45110.1
135136,1,1,1800.0
136020,5,6,10903.0
136021,1,1,1860.0
136026,16,17,29280.0
136027,105,113,205407.63
136030,2,2,4175.0
136033,8,8,14119.0
136034,14,15,20078.0
136035,7,8,15114.0
136038,5,5,8760.0
136042,1,1,2685.0
136043,5,5,7887.25
136044,4,4,7790.0
136109,1,1,2400.0
136117,12,14,21053.0
136118,197,215,377619.4
136119,45,47,89891.15
136128,39,44,64746.0
136129,9,9,16293.0
136130,5,5,10879.0
136131,11,11,15582.1
136132,27,31,54565.44
136135,61,68,118140.7
136156,11,15,25592.0
140001,112,127,230076.1
140002,1,1,1565.0
140054,1,1,2150.0
140055,1,1,1200.0
140063,1,1,3875.0
140070,1,1,1500.0
140071,1,1,1800.0
140101,34,37,73663.0
140102,4,4,10355.0
140103,49,51,99346.75
140107,4,4,5475.0
140108,10,10,17005.0
140109,3,5,6830.0
140110,10,10,28348.0
140111,5,6,8397.0
140112,13,18,27842.1
140113,10,10,18708.0
140114,5,5,9929.0
140115,7,7,12159.0
140116,2,2,2600.0
140117,18,22,36590.0
140118,24,25,59724.0
140119,6,7,13515.0
140123,7,8,11384.0
140124,41,45,72776.0
140125,7,7,18584.0
140126,20,21,40361.0
140127,1,1,975.0
140133,7,8,15982.0
140201,15,18,32413.0
140301,573,636,1077635.8
140302,2,2,2049.0
140306,72,84,146525.0
140307,127,139,270319.5
140308,163,175,325974.1
140310,1,3,2697.0
140391,1,1,1620.0
140401,110,113,192404.1
140402,4,5,6915.0
140405,4,5,8144.2
140406,69,74,124704.2
140407,13,13,31819.15
140412,13,15,30228.1
140413,18,21,34191.0
140416,1,1,1400.0
140417,5,6,11504.1
140501,34,36,66266.25
140506,4,6,17040.0
140507,100,107,187307.65
140601,24,25,48011.0
140602,12,12,33744.0
140603,552,601,1037406.16
140604,68,77,140243.3
140701,2,2,1675.0
140702,2,2,3340.0
140802,6,6,12139.0
140901,70,75,125496.0
141000,2,3,5110.0
141001,467,511,829946.55
141002,176,192,318946.1
141003,178,193,333800.8
141004,24,26,38735.35
141006,40,42,81142.1
