area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
AB Rd,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.033898305084744,26.865671641791046,24.8544776119403,29.929078014184398,34.791666666666664,41.05691056910569,33.776119402985074,37.98338699186992,43.69527777777778
Arera Cly,1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,20.634920634920636,24.296627272727278,26.18705035971223,31.08108108108108,36.97368421052632,35.83673469387755,37.83098591549296,55.10021739130435
Lajpat,1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.126126126126128,21.83406113537118,20.51282051282051,22.33009708737864,31.35593220338983,25.827814569536425,31.027732558139533,47.21858588235294,46.52493693693694,34.99960264900662,26.45829635416667,26.72811059907834,22.549019607843135,25.789473684210527,23.90137788018433,30.133333333333333,33.36734693877551,35.67901234567901,32.93684210526316,35.51531182795699,35.79734375
Rajouri,1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.272727272727273,20.0,28.571428571428573,22.88135593220339,25.63245161290323,29.32904132231405,35.46972,31.59,28.31714606741573,29.7979797979798,26.31578947368421,27.93296089385475,33.325471698113205,36.61971830985915,37.931034482758626,32.34782608695652,30.271317829457363,29.94026086956521,31.349
Sec-51,1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.402985074626862,16.379310344827587,19.252765957446808,23.101795918367348,28.12520661157025,29.07378225806452,23.66633333333333,24.836601307189543,24.615384615384617,27.272727272727273,23.006715116279068,29.767441860465116,31.666666666666668,37.49999999999999,29.098039215686278,30.348918181818185,37.049257142857144
Raj Ng,1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63146875,18.437297297297295,22.061794871794874,19.439444444444444,18.98820192307692,21.666666666666668,22.52252252252252,24.48979591836735,29.078387096774193,26.629213483146067,29.830508474576273,36.03174603174603,32.57446808510639,34.10401886792452,43.1256875
Sec-46,1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,30.066458715596333,25.84158415841584,32.394366197183096,30.76923076923077,26.20731707317073,30.3039375,36.46607692307692
Begambagh,1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789473684210527,17.202898550724637,24.150943396226417,26.944444444444446,31.08108108108108,25.305555555555554,31.4009,41.333444444444446
Faridabad,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333333333333332,22.258064516129036,22.093023255813954,31.7741935483871,30.524772727272733,26.287142857142857
Gurudev Ng,1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.422619047619047,20.207674418604654,14.69016129032258,17.690769846153845,18.971263157894736,20.2020202020202,25.0,24.13793103448276,24.035398230088497,29.0,31.944444444444446,33.13725490196078,34.21052631578947,30.60425,29.684526315789473
