City,total_orders,total_revenue,unique_pincodes
Lakshadweep,2,2599.0,2
Dakshin Dinajpur,2,5875.0,1
Tumkur,2,5975.0,2
Keonjhargarh,2,2430.0,1
Shillong,2,2700.0,2
Amberpet,1,764.0,1
Ambli,1,965.0,1
Amraipur,1,1675.0,1
Ambedkarnagar,1,5075.0,1
Tapi,1,900.0,1
Uttar Dinajpur,1,975.0,1
Amloh,1,3875.0,1
Raigad,1,2275.0,1
Longkhim,1,1200.0,1
Mehsana,1,2275.0,1
Ambari,1,299.0,1
Bijapur (Vijayapura),1,1475.0,1
Kurung Kumey,1,1620.0,1
Kothapet,1,1800.0,1
Kolarbazar,1,1200.0,1
Kherbari,1,1900.0,1
Khandwa,1,1400.0,1
Bilaspur,1,1775.0,1
Kharar,1,1200.0,1
Khamkheda,1,1200.0,1
Keri,1,1800.0,1
South Goa,1,2275.0,1
Imphal West,1,1475.0,1
Itanagar,1,1475.0,1
Kargil,1,764.0,1
Hissar,1,1475.0,1
Anantapur,1,900.0,1
Alibag,1,2975.0,1
