pin_int,unique_clinic_patients,clinic_orders,clinic_revenue,clinics_visited
202001,79,2562,1599100.0,9
202002,4,219,120000.0,2
202008,1,65,28000.0,1
202010,1,28,18000.0,1
202011,1,23,18700.0,1
202017,9,185,115500.0,4
202019,5,235,138100.0,1
202101,1,64,33000.0,1
202123,1,142,71000.0,1
202124,2,134,71000.0,1
202125,2,27,15000.0,2
202129,1,72,42000.0,1
202136,2,24,20024.0,2
202138,3,141,76000.0,2
202139,1,11,0.0,1
202145,2,108,68000.0,1
202165,1,1,0.0,1
202280,2,99,54000.0,1
202316,1,18,11000.0,1
202390,1,1,0.0,1
202394,6,56,46800.0,4
202412,2,72,48600.0,1
202415,1,27,18000.0,1
202425,1,1,1000.0,1
202625,1,10,8500.0,1
203001,28,789,530200.0,4
203131,32,1299,773720.0,4
203135,2,90,56900.0,1
203141,2,43,30000.0,2
203155,1,16,22000.0,1
203201,3,132,74700.0,1
203203,1,25,20000.0,1
203205,7,193,137400.0,4
203207,18,389,291799.0,4
203209,2,126,93900.0,2
203212,1,52,32000.0,1
203390,1,54,30000.0,1
203393,1,85,38000.0,1
203395,1,5,0.0,1
203396,2,24,17700.0,1
203397,1,32,28430.0,1
203401,1,58,42000.0,1
203408,2,11,9200.0,2
204101,23,801,432400.0,4
204102,3,94,52775.0,3
204109,1,37,15000.0,1
204213,2,94,54000.0,1
204215,4,134,65000.0,1
204216,3,139,63000.0,1
205001,50,1243,739363.0,7
205005,1,1,1000.0,1
205007,1,1,1000.0,1
205121,2,60,37200.0,1
205135,5,158,88000.0,1
205152,1,58,30000.0,1
205261,3,138,76000.0,1
205262,1,46,33000.0,1
205264,1,33,38000.0,1
205301,1,84,51000.0,1
205342,1,1,1000.0,1
205801,1,60,30700.0,1
206001,28,923,555113.0,9
206017,2,111,63000.0,2
206035,1,5,6500.0,1
206121,3,30,13500.0,2
206122,12,477,317050.0,2
206126,1,74,33000.0,1
206242,1,66,38000.0,1
206243,1,8,8500.0,1
206244,4,111,61300.0,3
206245,4,51,31000.0,1
207001,27,899,530200.0,2
207002,1,30,19000.0,1
207102,1,47,30000.0,1
207123,12,321,214600.0,4
207201,1,33,33000.0,1
207243,2,103,60000.0,2
207246,2,131,68000.0,1
207247,3,102,65100.0,2
207250,1,14,10000.0,1
207301,4,153,81500.0,1
207302,6,222,131200.0,1
207401,2,38,21000.0,1
208001,309,7711,4639650.0,10
208002,22,278,164800.0,4
208003,4,58,34700.0,1
208004,9,181,122300.0,2
208005,598,16492,9789790.0,8
208006,9,198,134700.0,1
208007,53,1645,986000.0,4
208010,4,62,39000.0,1
208011,29,507,324300.0,4
208012,233,5861,3798550.0,7
208013,10,239,158600.0,3
208014,10,275,204700.0,2
208015,4,50,36500.0,1
208016,13,291,210200.0,4
208017,93,1201,756599.0,2
208019,10,147,100700.0,4
208020,19,585,374200.0,2
208021,18,520,320700.0,1
208022,22,534,358100.0,1
208023,1,6,0.0,1
208024,4,59,41800.0,2
208025,14,230,143400.0,3
208026,3,61,55930.0,1
208027,22,591,414400.0,1
208201,3,90,52701.0,1
208205,1,1,0.0,1
209001,1,70,63300.0,1
209101,5,206,121600.0,1
209102,1,41,21500.0,1
209111,5,95,71200.0,2
209115,3,74,43500.0,1
209202,6,158,104000.0,2
209203,3,10,10500.0,2
209204,2,38,20000.0,1
209205,4,77,39400.0,1
209206,2,5,1400.0,1
209207,1,3,0.0,1
209210,4,85,73975.0,4
209214,2,3,700.0,1
209217,3,25,11000.0,2
209301,1,44,39100.0,1
209302,4,219,132500.0,2
209303,1,26,18000.0,1
209304,2,32,22400.0,1
209306,1,14,10500.0,1
209307,1,4,0.0,1
209310,1,25,18000.0,1
209402,2,72,58100.0,1
209502,2,124,60000.0,1
209601,5,116,84000.0,2
209625,11,227,154500.0,4
209721,5,215,131500.0,1
209722,2,30,25700.0,1
209725,11,332,232700.0,2
209727,4,49,48900.0,3
209728,1,56,33000.0,1
209732,2,56,43600.0,1
209733,1,3,0.0,1
209801,27,814,492150.0,3
209821,1,52,30000.0,1
209841,4,112,73000.0,2
209859,1,11,11100.0,1
209861,3,177,99000.0,1
209865,2,2,2000.0,1
209868,2,52,35000.0,1
